,표준코드,단축코드,한글 종목명,한글 종목약명,영문 종목명,상장일,시장구분,증권구분,소속부,주식종류,액면가,상장주식수
1544,KR7079000006,A079000,와토스 코리아,와토스코리아,"WATOS COREA CO.,LTD",2005/11/15,KOSDAQ,주권,중견기업부,보통주,500,7200000
1545,KR7316140003,A316140,우리금융지주보통주,우리금융지주,WooriFinancialGroup,2019/02/13,KOSPI,주권,,보통주,5000,728060549
1546,KR7032820003,A032820,우리기술,우리기술,"Woori Technology, Incorporation",2000/06/22,KOSDAQ,주권,벤처기업부,보통주,500,133324108
1547,KR7041190000,A041190,우리기술투자,우리기술투자,"Woori Technology Investment Co., Ltd",2000/06/09,KOSDAQ,주권,벤처기업부,보통주,500,84000000
1548,KR7115440000,A115440,우리넷,우리넷,"Woori-Net Co., Ltd.",2010/01/27,KOSDAQ,주권,벤처기업부,보통주,500,9136944
1549,KR7118000009,A118000,우리들휴브레인보통주,우리들휴브레인,WOORIDUL HUEBRAIN,2009/12/30,KOSPI,주권,,보통주,500,81323413
1550,KR7046970000,A046970,우리로,우리로,"WOORIRO CO., LTD",2012/11/27,KOSDAQ,주권,관리종목(소속부없음),보통주,500,32049634
1551,KR7082850009,A082850,우리바이오,우리바이오,"WOOREE BIO CO., LTD",2005/07/29,KOSDAQ,주권,중견기업부,보통주,500,46177157
1552,KR7215360009,A215360,우리산업,우리산업,"WOORY INDUSTRIAL CO.,LTD.",2015/05/06,KOSDAQ,주권,우량기업부,보통주,500,9132163
1553,KR7072470008,A072470,우리산업홀딩스,우리산업홀딩스,"WOORY INDUSTRIAL HOLDINGS CO.,LTD.",2003/10/28,KOSDAQ,주권,중견기업부,보통주,500,18887341
1554,KR7073560005,A073560,우리손에프앤지 농업회사법인,우리손에프앤지,"Woorison F&G CO., LTD.",2016/07/27,KOSDAQ,주권,우량기업부,보통주,500,69237643
1555,KR7153490008,A153490,우리이앤엘,우리이앤엘,"WOOREE E&L CO.,Ltd.",2013/02/05,KOSDAQ,주권,중견기업부,보통주,500,51480000
